standard_family_id,standard_family_key
FAM-6A789BED4088,IS 8043
FAM-803AEBE402AC,IS 4410
FAM-0A24AF37AAE2,IS 5897
FAM-AD3B3ABD7B0D,IS 19752
FAM-E63916434F65,IS/IEC 60947
FAM-A6C573BB56D4,IS 7391
FAM-504190789960,IS 1146
FAM-E4268BCCBE24,IS 15429
FAM-139298590D9E,IS 16179
FAM-5B1FDA572ED1,IS 19761
FAM-A8C0D9EB6679,IS/IEC 61936
FAM-261D42D08FD8,IS 3466
FAM-4DF94DA2E9CE,IS 4305
FAM-CCEEF0724C59,IS 4845
FAM-FA1047ABD9A2,IS 10080
FAM-1A2235F10EF9,IS 875
FAM-9F539F75311C,IS 2601
FAM-0D6A2D5018D5,IS 1528
FAM-5A703036CB3F,IS 18632
FAM-CAD6C25740A6,IS 6016
FAM-02F11726E50B,IS 8376
FAM-CEB5DDB9788B,IS 9838
FAM-F4CF85154423,IS 19750
FAM-19C8DA8A9255,IS 19743
FAM-B2DC7E1709E6,IS 19765
FAM-05F874367460,IS 19667
FAM-8BAE0E7EBB3B,IS 10058
FAM-EE7D0670B6E7,IS 10390
FAM-A41035AC0CFC,IS 10045
FAM-019819CC3EF2,IS 4569
FAM-072A61116FF1,IS 5157
FAM-CF13DEA5FA15,IS 8106
FAM-F703F4A5E648,IS 14656
FAM-92A495447290,IS 4263
FAM-2B1374743070,IS 6719
FAM-70DF261FB649,IS 18066
FAM-CF4CC61115D3,IS 19627
FAM-3031586B2B9E,IS 19628
FAM-4E4CEB518201,IS 17614
FAM-8C421013D894,IS 19748
FAM-602BA1142002,IS 10847
FAM-D34DCB43944F,IS 7786
FAM-AAB5CC104C4B,IS 9688
FAM-E9BF502DD307,IS 9983
FAM-098E834D32F9,IS 8109
FAM-CDA92A8EC84E,IS 9329
FAM-06AE835397CA,IS 19692
FAM-6AC86BCD7293,IS 4755
FAM-33C8F0F499EB,IS 8327
FAM-C54EAE479561,IS 8734
FAM-C9C80BD3DC64,IS 8743
FAM-A6E25C3D8B47,IS 8838
FAM-C6C8461DFDA7,IS 8839
FAM-6600E17A1004,IS 8840
FAM-1B67631DAE77,IS 17034
FAM-48F6BF6074EF,IS 19731
FAM-0D851B2EFFBD,IS 19615
FAM-A1182784C07E,IS/ISO 6039
FAM-F3DC8E43E2B3,IS/IEC 61400
FAM-85DBEC596CA4,IS 19583
FAM-1CFDF6546D42,IS 14230
FAM-B79C88D6FEE8,IS 7136
FAM-D73FB4407A26,IS 14481
FAM-80B04E1D7D8F,IS 15996
FAM-E958B8885D8D,IS 9558
FAM-4EB16E88979F,IS 15994
FAM-5001B601449F,IS 2627
FAM-96017AE3F774,IS 7000
FAM-C0DD7C547B02,IS 3677
FAM-CCD333A2F2B1,IS 12533
FAM-0EF8425AF764,IS 12517
FAM-0AFE79A13D0D,IS 7038
FAM-32228B69E638,IS 7130
FAM-55A55597D9D1,IS 3894
FAM-84DFC62FF6F4,IS 8325
FAM-E44D095E36E6,IS 6565
FAM-2B63DF771847,IS 6578
FAM-30973FE383FE,IS/IEC 62314
FAM-36813694A287,IS/IEC 61812
FAM-1DFEB443965F,IS 9708
FAM-207131D1FC89,IS/IEC 60079
FAM-644FB17B60AA,IS 2381
FAM-6F5F7112BA68,IS/ISO 15924
FAM-06E0D27DDC0D,IS 14836
FAM-777D00E59699,IS 16276
FAM-16137535B07D,IS/IEC 60773
FAM-0C5554084624,IS 4647
FAM-687EDE9B6DBE,IS 1399
FAM-28585014E7EB,IS 6454
FAM-0664BA13F7BC,IS 2462
FAM-26727FBF96B0,IS 1895
FAM-B200E9D62CD7,IS 5352
FAM-9843D2BA52ED,IS 199
FAM-76B1814FE2BD,IS 665
FAM-6B1D50D55BAE,IS 1299
FAM-6ECD1DE6DBBC,IS 4419
FAM-7E4FE0CBB2EB,IS 171
FAM-57297E22E448,IS 293
FAM-69D5B76CAB91,IS/ISO 603
FAM-49F4906BDB0A,IS/ISO 8000
FAM-06105692EE5B,IS 14739
FAM-9CDE2FCC3789,IS 3650
FAM-E23DB8F98DA4,IS 8857
FAM-A2B70C969054,IS 4003
FAM-EBCF3FC97912,IS 7044
FAM-45DB3B7B80C9,IS 7045
FAM-56F17723B778,IS 14820
FAM-D0803885E90B,IS 19597
FAM-40417773B1F9,IS 19723
FAM-619EE85DD57F,IS 19701
FAM-5FC40E412EEA,IS 17192
FAM-7C38B99DE7FE,IS 19699
FAM-ED3623E5F394,IS/ISO 20140
FAM-E875411F4FBF,IS 19702
FAM-0880D323F7B0,IS 12193
FAM-9C9A652B3BE3,IS 2189
FAM-29AD70579481,IS 4456
FAM-DA973E3C7BFD,IS 19559
FAM-0F10AC4D066F,IS 19600
FAM-D04C7832B1AE,IS 19747
FAM-3C26204FD5E7,IS 19745
FAM-2C93D641EF22,IS 19746
FAM-3D9A1F97A44B,IS 6499
FAM-BBC47CE46FE3,IS/IEC 61439
FAM-046EFD45E163,IS 15596
FAM-F057B063CDB5,IS 16602
FAM-F09599673098,IS 19635
FAM-CE6249E7D945,IS 19637
FAM-72B12659D43B,IS/IEC 63002
FAM-7940847E22B0,IS 9786
FAM-0C3F0D5A1A54,IS 447
FAM-756B6C88E8B4,IS 14424
FAM-AE032E496810,IS 5190
FAM-BF775F9F015B,IS 12076
FAM-4022EAD044FC,IS 14127
FAM-6C16864CC923,IS 6954
FAM-555BA6592377,IS 19556
FAM-365EF1272C26,IS 19516
FAM-87334E7B9D41,IS 19729
FAM-F269D71DE2B8,IS 19630
FAM-BA35ED29100D,IS 19668
