standard_id,standard_number,title,title_normalized,v03_duplicate_status
MSV1-EC9918713E6C04F4,IS 16727:2018,Tools for Pressing — Sliding Plates,tools for pressing sliding plates,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-B593C6DE383F1BDE,IS 1448 (Part 157):2018,Methods of test for petroleum and its products [ p : 157 ] rust protections by metal preservatives in the humidity cabinet,methods of test for petroleum and its products p 157 rust protections by metal preservatives in the humidity cabinet,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-0F71B6F49FE7A4E2,IS 16762:2018,Skis - Vocabulary,skis vocabulary,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-7AE52CD0711A532C,IS/ISO 15883 (Part 1):2006,"Washer - Disinfectors: Part 1 general requirements, terms and definitions and tests",washer disinfectors part 1 general requirements terms and definitions and tests,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-38FEB4AAC4A0C2F7,IS 16602 (Part 1):2018,Information and documentation - RFID in libraries: Part 1 data elements and general guidelines for implementation,information and documentation rfid in libraries part 1 data elements and general guidelines for implementation,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-D83F79B3AAD550FF,IS 16602 (Part 3):2017,Information & Documentation- RFID in Libraries Part 3 Fixed Lenth Encoding,information documentation rfid in libraries part 3 fixed lenth encoding,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-82B3520398EB826E,IS/ISO 2162 (Part 2):1993,Technical product documentation - Springs: Part 2 presentation of data for cylindrical helical compression springs,technical product documentation springs part 2 presentation of data for cylindrical helical compression springs,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-46AB05A57D5246C7,IS 10735:2017,Information technology - Data communication - 15 - Pole DTE/DCE interface connector and contact number assignments (First Revision),information technology data communication 15 pole dte dce interface connector and contact number assignments first revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-65644F2988E1370E,IS 10737:2017,Information technology - Data communication - 15 - Pole DTE/DCE interface connector and contact number assignments (First Revision),information technology data communication 15 pole dte dce interface connector and contact number assignments first revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-42A6859754008072,IS 3961 (Part 6):2016,Recommended Current Ratings for Cables Part 6 Crosslinked Polyethylene Insulated PVC Sheathed Cables,recommended current ratings for cables part 6 crosslinked polyethylene insulated pvc sheathed cables,DUPLICATE_NORMALIZED_TITLE_RETAINED
MSV1-DDFB121518097418,IS 1448 (Part 97):2015,Methods of test for petroleum and its products [p : 97] determination of thermal oxidation stability of gas turbine fuels - Jftot method (First Revision),methods of test for petroleum and its products p 97 determination of thermal oxidation stability of gas turbine fuels jftot method first revision,DUPLICATE_NORMALIZED_TITLE_RETAINED
