reference_id,from_standard_id,to_standard_id,relationship_type,evidence,source,validation_status
REF-968A94D52439DAC0,MSV1-9CFA1FE8910113D0,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-94A37BD6CE7715D3,MSV1-0C86F9F21218E54B,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-238BB299D752D325,MSV1-7999720A6F32853F,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-772C183002EFDDC0,MSV1-3377AE13642F3A3E,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-FCD0BFFEBBA003A8,MSV1-C956F39F4CBE6C55,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-81B5C2E8D8A8BCB4,MSV1-A9948391AE2E7355,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-E22E79A7F56B0DC0,MSV1-28E0EFBB542CB521,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-0657640BCA308B37,MSV1-06A04D781D01A2C6,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-B02C581766781D9C,MSV1-EE967F00771BBFCC,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-E091FFC1E6664C1E,MSV1-B34CAE2322CD0273,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-D54CE02BEA38F749,MSV1-A0F5D002CD6D8458,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-936660E3826E86F6,MSV1-4E3774B3A1934884,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-3BEB1796D1115565,MSV1-94037F90D8E26E91,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-FD38F76D3F2ACE74,MSV1-229DB785CAF139F3,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-6741677979CB56EC,MSV1-38FC966A8B23DAF1,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-1E399C6A5D3C7BC5,MSV1-D4104E86FD409C9A,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-9347259BA120AB5E,MSV1-341D8871D06A8302,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-BF3EEC2E3B71B3A7,MSV1-306742234323BAD0,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-075963C8EF4F5BA8,MSV1-D23D7435D3D50E05,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-A7E2CE56FBCB5872,MSV1-B5CC69A422B27985,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-2720CEABA99F3551,MSV1-545BE6EB7DCC4BB8,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-10A7419BACF94954,MSV1-C34C901843DA2D5A,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-DEAFF49E60F3BDB8,MSV1-802357F71631AFFF,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-AC5907B72EE880CE,MSV1-F4FC3A7D922E676B,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-3A48622020B71205,MSV1-9DC23A884D902E31,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-C56FB9835E26CD8F,MSV1-FA7820263D6EA9F6,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-FC603893645D66DF,MSV1-EE4D9D49A42FE982,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-F8A4CFE11729CDE2,MSV1-C81800F032E101C9,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-923EF4C91BD4D6E2,MSV1-1FF94D72C7865560,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-18F06F8B2440DAFC,MSV1-0D94781525B38165,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-2B0C971CD1E8FC57,MSV1-94D5BDD5BB26E38C,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-9B029788EA2ADDE6,MSV1-302C8184BB21228D,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-E0985578672925F1,MSV1-0853047EBA4C2BBA,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-CD3D9FD08C5EEF3A,MSV1-A3AD2C99F6D3B04C,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
REF-3E2A3F2F108BDFC6,MSV1-C09219C191CD1358,NOT_AVAILABLE,NOT_VALIDATED,No reference section supplied in source inventory,NO_REFERENCE_SOURCE_IN_V02_CORE,NEEDS_AUTHORITATIVE_ENRICHMENT
